,"90: New, large batteries to store energy from wind and solar:Would you support or oppose plans to build the following 3 miles from your home, if some of the profits were managed by a local charity? ","90: A new train station:Would you support or oppose plans to build the following 3 miles from your home, if some of the profits were managed by a local charity? ","90: A new onshore wind farm:Would you support or oppose plans to build the following 3 miles from your home, if some of the profits were managed by a local charity? ","90: New pylons and power lines for carrying electricity:Would you support or oppose plans to build the following 3 miles from your home, if some of the profits were managed by a local charity? ","90: A new solar farm:Would you support or oppose plans to build the following 3 miles from your home, if some of the profits were managed by a local charity? ","90: New homes:Would you support or oppose plans to build the following 3 miles from your home, if some of the profits were managed by a local charity? "
8,Somewhat support,Neither support nor oppose,Somewhat support,Neither support nor oppose,Somewhat support,Somewhat support
10,Somewhat oppose,Somewhat support,Somewhat oppose,Neither support nor oppose,Somewhat oppose,Neither support nor oppose
13,nan,nan,nan,nan,nan,nan
32,nan,nan,nan,nan,nan,nan
52,nan,nan,nan,nan,nan,nan
85,Somewhat oppose,Somewhat support,Strongly oppose,Strongly oppose,Neither support nor oppose,Strongly oppose
89,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Neither support nor oppose,Strongly oppose
141,nan,nan,nan,nan,nan,nan
143,Somewhat support,Strongly support,Strongly support,Somewhat support,Strongly support,Strongly support
165,nan,nan,nan,nan,nan,nan
206,nan,nan,nan,nan,nan,nan
245,Strongly support,Somewhat support,Strongly support,Strongly support,Strongly support,Somewhat support
269,Somewhat oppose,Somewhat support,Strongly oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose
312,nan,nan,nan,nan,nan,nan
316,nan,nan,nan,nan,nan,nan
322,nan,nan,nan,nan,nan,nan
325,nan,nan,nan,nan,nan,nan
350,nan,nan,nan,nan,nan,nan
371,nan,nan,nan,nan,nan,nan
397,Strongly oppose,Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,Neither support nor oppose
470,nan,nan,nan,nan,nan,nan
474,nan,nan,nan,nan,nan,nan
584,Somewhat oppose,Somewhat support,Somewhat oppose,Somewhat oppose,Somewhat support,Somewhat support
603,nan,nan,nan,nan,nan,nan
617,nan,nan,nan,nan,nan,nan
618,nan,nan,nan,nan,nan,nan
653,nan,nan,nan,nan,nan,nan
690,nan,nan,nan,nan,nan,nan
734,nan,nan,nan,nan,nan,nan
755,nan,nan,nan,nan,nan,nan
771,nan,nan,nan,nan,nan,nan
804,nan,nan,nan,nan,nan,nan
823,Somewhat support,Strongly support,Somewhat support,Somewhat support,Somewhat support,Somewhat support
843,nan,nan,nan,nan,nan,nan
844,nan,nan,nan,nan,nan,nan
862,nan,nan,nan,nan,nan,nan
894,nan,nan,nan,nan,nan,nan
925,Somewhat support,Somewhat support,Somewhat support,Somewhat support,Somewhat support,Somewhat support
927,Strongly oppose,Neither support nor oppose,Somewhat support,Somewhat oppose,Neither support nor oppose,Neither support nor oppose
937,nan,nan,nan,nan,nan,nan
943,nan,nan,nan,nan,nan,nan
959,Somewhat support,Somewhat support,Somewhat support,Somewhat support,Somewhat support,Somewhat support
964,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support
1048,nan,nan,nan,nan,nan,nan
1093,nan,nan,nan,nan,nan,nan
1124,nan,nan,nan,nan,nan,nan
1176,nan,nan,nan,nan,nan,nan
1254,nan,nan,nan,nan,nan,nan
1259,Neither support nor oppose,Neither support nor oppose,Somewhat support,Neither support nor oppose,Somewhat support,Strongly oppose
1351,nan,nan,nan,nan,nan,nan
1360,nan,nan,nan,nan,nan,nan
1362,Neither support nor oppose,Neither support nor oppose,Somewhat support,Neither support nor oppose,Somewhat support,Strongly support
1391,nan,nan,nan,nan,nan,nan
1406,nan,nan,nan,nan,nan,nan
1427,nan,nan,nan,nan,nan,nan
1440,nan,nan,nan,nan,nan,nan
1443,nan,nan,nan,nan,nan,nan
1486,nan,nan,nan,nan,nan,nan
1511,nan,nan,nan,nan,nan,nan
1532,nan,nan,nan,nan,nan,nan
1537,nan,nan,nan,nan,nan,nan
1556,nan,nan,nan,nan,nan,nan
1604,nan,nan,nan,nan,nan,nan
1610,nan,nan,nan,nan,nan,nan
1629,nan,nan,nan,nan,nan,nan
1673,nan,nan,nan,nan,nan,nan
1679,nan,nan,nan,nan,nan,nan
1687,nan,nan,nan,nan,nan,nan
1698,nan,nan,nan,nan,nan,nan
1703,nan,nan,nan,nan,nan,nan
1712,nan,nan,nan,nan,nan,nan
1715,Neither support nor oppose,Somewhat support,Somewhat support,Somewhat oppose,Somewhat support,Neither support nor oppose
1721,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know
1725,nan,nan,nan,nan,nan,nan
1741,nan,nan,nan,nan,nan,nan
1778,nan,nan,nan,nan,nan,nan
1810,Strongly support,Strongly support,Strongly support,Somewhat oppose,Strongly support,Strongly oppose
1866,nan,nan,nan,nan,nan,nan
1871,nan,nan,nan,nan,nan,nan
1878,nan,nan,nan,nan,nan,nan
1898,nan,nan,nan,nan,nan,nan
1904,nan,nan,nan,nan,nan,nan
1915,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support
1931,nan,nan,nan,nan,nan,nan
1948,nan,nan,nan,nan,nan,nan
1951,nan,nan,nan,nan,nan,nan
1953,nan,nan,nan,nan,nan,nan
1955,nan,nan,nan,nan,nan,nan
1960,nan,nan,nan,nan,nan,nan
2002,nan,nan,nan,nan,nan,nan
2025,nan,nan,nan,nan,nan,nan
2032,nan,nan,nan,nan,nan,nan
2065,nan,nan,nan,nan,nan,nan
2079,Somewhat support,Somewhat support,Somewhat support,Neither support nor oppose,Somewhat support,Neither support nor oppose
2107,Somewhat support,Don’t know,Somewhat support,Somewhat support,Somewhat support,Somewhat support
2154,nan,nan,nan,nan,nan,nan
2187,nan,nan,nan,nan,nan,nan
2219,nan,nan,nan,nan,nan,nan
2233,nan,nan,nan,nan,nan,nan
2238,nan,nan,nan,nan,nan,nan
2262,Strongly oppose,Somewhat oppose,Strongly oppose,Neither support nor oppose,Strongly oppose,Somewhat oppose
2270,Strongly support,Strongly support,Strongly oppose,Strongly oppose,Strongly support,Strongly oppose
2271,nan,nan,nan,nan,nan,nan
2310,nan,nan,nan,nan,nan,nan
2326,nan,nan,nan,nan,nan,nan
2328,nan,nan,nan,nan,nan,nan
2330,nan,nan,nan,nan,nan,nan
2333,Somewhat support,Somewhat support,Neither support nor oppose,Neither support nor oppose,Somewhat support,Somewhat support
2338,nan,nan,nan,nan,nan,nan
2346,nan,nan,nan,nan,nan,nan
2348,nan,nan,nan,nan,nan,nan
2353,nan,nan,nan,nan,nan,nan
2425,nan,nan,nan,nan,nan,nan
2430,nan,nan,nan,nan,nan,nan
2500,nan,nan,nan,nan,nan,nan
2508,nan,nan,nan,nan,nan,nan
2517,nan,nan,nan,nan,nan,nan
2535,nan,nan,nan,nan,nan,nan
2553,nan,nan,nan,nan,nan,nan
2558,nan,nan,nan,nan,nan,nan
2576,nan,nan,nan,nan,nan,nan
2590,nan,nan,nan,nan,nan,nan
2605,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Somewhat oppose,Strongly oppose
2614,nan,nan,nan,nan,nan,nan
2637,nan,nan,nan,nan,nan,nan
2638,nan,nan,nan,nan,nan,nan
2640,Strongly oppose,Strongly oppose,Strongly oppose,Neither support nor oppose,Strongly oppose,Strongly oppose
